atmovies_id,full_title,chinese_title,english_title,runtime,release_date,detail_url
fhko15766876,聖夜：惡魔都市 Holy Night: Demon Hunters,聖夜：惡魔都市,Holy Night: Demon Hunters,92,2025-04-30,https://www.atmovies.com.tw/movie/fhko15766876/
faen83566834,MINECRAFT麥塊電影 A Minecraft Movie,MINECRAFT麥塊電影,A Minecraft Movie,100,2025-04-02,https://www.atmovies.com.tw/movie/faen83566834/
fscn72884478,夏日最後的祕密 Summer Blue Hour,夏日最後的祕密,Summer Blue Hour,115,2025-04-30,https://www.atmovies.com.tw/movie/fscn72884478/
fwjp11219254,花束般的戀愛 We Made a Beautiful Bouquet,花束般的戀愛,We Made a Beautiful Bouquet,123,2025-04-30,https://www.atmovies.com.tw/movie/fwjp11219254/
fren27674700,禁夜屍 Rosario,禁夜屍,Rosario,88,2025-05-09,https://www.atmovies.com.tw/movie/fren27674700/
fltw75338640,有病才會喜歡你 Lovesick,有病才會喜歡你,Lovesick,110,2025-04-02,https://www.atmovies.com.tw/movie/fltw75338640/
frth33636006,冥婚鬧泰大 The Red Envelope,冥婚鬧泰大,The Red Envelope,127,2025-05-09,https://www.atmovies.com.tw/movie/frth33636006/
fwen32214413,囍宴 The Wedding Banquet,囍宴,The Wedding Banquet,103,2025-05-09,https://www.atmovies.com.tw/movie/fwen32214413/
fken47967302,萬王之王 The King of Kings,萬王之王,The King of Kings,101,2025-04-18,https://www.atmovies.com.tw/movie/fken47967302/
fmen33030449,"宮﨑駿的奇幻世界 Miyazaki, Spirit of Nature",宮﨑駿的奇幻世界,"Miyazaki, Spirit of Nature",85,2025-05-09,https://www.atmovies.com.tw/movie/fmen33030449/
fsen31193180,罪人 Sinners,罪人,Sinners,138,2025-04-17,https://www.atmovies.com.tw/movie/fsen31193180/
fsno14828040,取精急轉彎 Spermageddon,取精急轉彎,Spermageddon,79,2025-04-25,https://www.atmovies.com.tw/movie/fsno14828040/
