[2025-05-06T09:54:10.614Z] 開始資料庫更新流程
[2025-05-06T09:54:10.629Z] 開始ATMovies 場次爬蟲...
[2025-05-06T09:59:38.827Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 17:55:07,326 - INFO - 確認電影院名稱: 林口三井OUTLET威秀影城
2025-05-06 17:55:07,328 - INFO - 在 林口三井OUTLET威秀影城 - 今天 找到 45 個場次
2025-05-06 17:55:07,328 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:07,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:07,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:08,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:55:08,762 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:55:08,762 - ERROR - 無法獲取場次資訊: 喜樂時代影城西門今日店 - 明天
2025-05-06 17:55:08,762 - INFO - 由於 喜樂時代影城西門今日店 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:08,762 - INFO - 完成電影院 喜樂時代影城西門今日店 的資料收集
2025-05-06 17:55:08,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e09/a02/
2025-05-06 17:55:09,040 - INFO - 確認電影院名稱: 板橋秀泰影城
2025-05-06 17:55:09,043 - INFO - 在 板橋秀泰影城 - 今天 找到 76 個場次
2025-05-06 17:55:09,043 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:10,183 - INFO - 確認電影院名稱: 台北天母新光影城
2025-05-06 17:55:10,184 - INFO - 在 台北天母新光影城 - 後天 找到 39 個場次
2025-05-06 17:55:10,184 - INFO - 完成電影院 台北天母新光影城 的資料收集
2025-05-06 17:55:10,184 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e10/a02/
