[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:54:21,102 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b12/a02/
2025-05-06 14:54:21,200 - INFO - 確認電影院名稱: in89豪華數位影城
2025-05-06 14:54:21,203 - INFO - 在 in89豪華數位影城 - 今天 找到 55 個場次
2025-05-06 14:54:22,208 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b12/a02/20250507/
2025-05-06 14:54:26,650 - INFO - 確認電影院名稱: in89豪華數位影城
2025-05-06 14:54:26,652 - INFO - 在 in89豪華數位影城 - 明天 找到 55 個場次
2025-05-06 14:54:27,657 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b12/a02/20250508/
2025-05-06 14:54:35,665 - INFO - 確認電影院名稱: in89豪華數位影城
2025-05-06 14:54:35,668 - INFO - 在 in89豪華數位影城 - 後天 找到 55 個場次
2025-05-06 14:54:36,670 - INFO - 完成電影院 in89豪華數位影城 的資料收集
2025-05-06 14:54:36,672 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/
2025-05-06 14:54:36,789 - INFO - 確認電影院名稱: 真善美戲院
2025-05-06 14:54:36,790 - INFO - 在 真善美戲院 - 今天 找到 13 個場次
2025-05-06 14:54:37,791 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/20250507/
2025-05-06 14:54:42,009 - INFO - 確認電影院名稱: 真善美戲院
2025-05-06 14:54:42,011 - INFO - 在 真善美戲院 - 明天 找到 14 個場次
2025-05-06 14:54:43,016 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/20250508/
2025-05-06 14:54:47,842 - INFO - 確認電影院名稱: 真善美戲院
2025-05-06 14:54:47,844 - INFO - 在 真善美戲院 - 後天 找到 13 個場次
2025-05-06 14:54:48,849 - INFO - 完成電影院 真善美戲院 的資料收集
2025-05-06 14:54:48,850 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b01/a02/
2025-05-06 14:54:48,942 - INFO - 確認電影院名稱: 國賓戲院
2025-05-06 14:54:48,943 - INFO - 在 國賓戲院 - 今天 找到 13 個場次
2025-05-06 14:54:49,946 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b01/a02/20250507/
2025-05-06 14:54:53,232 - INFO - 確認電影院名稱: 國賓戲院
2025-05-06 14:54:53,233 - INFO - 在 國賓戲院 - 明天 找到 14 個場次
2025-05-06 14:54:54,239 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b01/a02/20250508/
2025-05-06 14:54:59,925 - INFO - 確認電影院名稱: 國賓戲院
2025-05-06 14:54:59,926 - INFO - 在 國賓戲院 - 後天 找到 14 個場次
2025-05-06 14:55:00,932 - INFO - 完成電影院 國賓戲院 的資料收集
2025-05-06 14:55:00,932 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b06/a02/
2025-05-06 14:55:01,047 - INFO - 確認電影院名稱: 喜樂時代影城西門今日店
2025-05-06 14:55:01,050 - INFO - 在 喜樂時代影城西門今日店 - 今天 找到 55 個場次
2025-05-06 14:55:02,055 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 14:55:08,191 - INFO - 確認電影院名稱: 喜樂時代影城西門今日店
2025-05-06 14:55:08,194 - INFO - 在 喜樂時代影城西門今日店 - 明天 找到 52 個場次
2025-05-06 14:55:09,199 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b06/a02/20250508/
2025-05-06 14:55:14,366 - INFO - 確認電影院名稱: 喜樂時代影城西門今日店
2025-05-06 14:55:14,368 - INFO - 在 喜樂時代影城西門今日店 - 後天 找到 54 個場次
2025-05-06 14:55:15,374 - INFO - 完成電影院 喜樂時代影城西門今日店 的資料收集
2025-05-06 14:55:15,375 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b08/a02/
2025-05-06 14:55:15,471 - INFO - 確認電影院名稱: 台北西門威秀影城
