display_title,original_title,release_date,runtime,poster_url,tmdb_id,success,failure_reason
直到黎明 UNTIL DAWN,UNTIL DAWN,2025-04-25,103,https://image.tmdb.org/t/p/original/kT6rj31OS5r0jLahUAxuDlApuY6.jpg,1232546,Yes,
器子 Organ Girl,Organ Girl,2025-04-11,108,https://image.tmdb.org/t/p/original/1S1vakUhL2hDEDQVhL2kmZGKztJ.jpg,1005985,Yes,
青春末世物語 Happyend,Happyend,2025-03-21,113,https://image.tmdb.org/t/p/original/lIHRSdRuxKcSRDAuigveXKIlf98.jpg,730251,Yes,
學姊是男孩劇場版 Senpai is an Otokonoko,Senpai is an Otokonoko,2025-04-25,83,https://image.tmdb.org/t/p/original/qOCnr7MNK3jbWcLFusveOd2wsIe.jpg,1362429,Yes,
超人力霸王雅克 Ultraman Arc the Movie,Ultraman Arc the Movie,2025-04-02,75,https://image.tmdb.org/t/p/original/tdU5hCURLcRy8JTYwLfti0mchYi.jpg,1392079,Yes,
我在平行時空戀上妳 My Beloved Stranger,My Beloved Stranger,2025-04-02,121,https://image.tmdb.org/t/p/original/p9ZefGoangnFu3AKFMC1znUpATP.jpg,1323008,Yes,
看我今天怎麼說 The Way We Talk,The Way We Talk,2025-04-30,132,https://image.tmdb.org/t/p/original/zenxhMKliGNzaZAXdoeO8WetfbI.jpg,1239041,Yes,
少年與狗 The Boy and the Dog,The Boy and the Dog,2025-04-25,128,https://image.tmdb.org/t/p/original/1XbrDPFfzwErQG21DgEjqgaQoi9.jpg,1317090,Yes,
鬼保母 Baba Yaga: Terror of the Dark Forest,Baba Yaga: Terror of the Dark Forest,2022-01-07,97,https://image.tmdb.org/t/p/original/4hn2UP41KQJmMLCQXJWeUcNjmz.jpg,575088,Yes,
極速引爆 Hard Hit,Hard Hit,2021-07-22,94,https://image.tmdb.org/t/p/original/h2IvsspAGJLUuJJxAVi2qHJe3fv.jpg,654739,Yes,
留給未來的殘影 Afterimage for Tomorrow,Afterimage for Tomorrow,2020-01-15,20,https://image.tmdb.org/t/p/original/fOaTrKYfhXqQIJcdBTzGpx9cjL4.jpg,562246,Yes,
舞池漫波 Bodies of Water,Bodies of Water,,10,https://image.tmdb.org/t/p/original/NEjjwaOKv9oYG97MXmOYwmFvi0.jpg,738464,Yes,
石像鬼歹逗陣 Gargoyle Doyle,Gargoyle Doyle,,38,https://image.tmdb.org/t/p/original/6mMXFbfLTX6O4H8F9HfnZVD9Zre.jpg,1286511,Yes,
心的告白 Heartbeat,Heartbeat,,9,https://image.tmdb.org/t/p/original/ppbMpesLraB3mWVwkBmRGFbsGgf.jpg,727796,Yes,
開心鬼上身 HELLO GHOST(2010),HELLO GHOST(2010),2023-05-12,111,https://image.tmdb.org/t/p/original/eABJoKMxXky1R13aR2E9It90Djm.jpg,62439,Yes,
茶道小精靈：千 Sen,Sen,,15,,,No,TMDB電影 Sen 沒有ID或海報路徑
